t,x,y
0.001, 10, 5
0.002, 11.4202, 5.81997
0.003, 12.8404, 6.63987
0.004, 14.2604, 7.4597
0.005, 15.6803, 8.27947
0.006, 17.1002, 9.09917
0.007, 18.5199, 9.9188
0.008, 19.9396, 10.7384
0.009, 21.3591, 11.5579
0.01, 22.7785, 12.3773
0.011, 24.1979, 13.1967
0.012, 25.6171, 14.016
0.013, 27.0363, 14.8352
0.014, 28.4553, 15.6544
0.015, 29.8743, 16.4735
0.016, 31.2931, 17.2925
0.017, 32.7119, 18.1115
0.018, 34.1306, 18.9304
0.019, 35.5491, 19.7492
0.02, 36.9676, 20.568
0.021, 38.3859, 21.3867
0.022, 39.8042, 22.2053
0.023, 41.2224, 23.0239
0.024, 42.6404, 23.8424
0.025, 44.0584, 24.6608
0.026, 45.4763, 25.4792
0.027, 46.8941, 26.2975
0.028, 48.3117, 27.1157
0.029, 49.7293, 27.9339
0.03, 51.1468, 28.752
0.031, 52.5642, 29.57
0.032, 53.9815, 30.388
0.033, 55.3987, 31.2059
0.034, 56.8157, 32.0237
0.035, 58.2327, 32.8415
0.036, 59.6496, 33.6592
0.037, 61.0664, 34.4769
0.038, 62.4831, 35.2944
0.039, 63.8997, 36.1119
0.04, 65.3162, 36.9294
0.041, 66.7326, 37.7468
0.042, 68.1489, 38.5641
0.043, 69.5651, 39.3813
0.044, 70.9813, 40.1985
0.045, 72.3973, 41.0156
0.046, 73.8132, 41.8326
0.047, 75.229, 42.6496
0.048, 76.6447, 43.4665
0.049, 78.0603, 44.2834
0.05, 79.4759, 45.1002
0.051, 80.8913, 45.9169
0.052, 82.3066, 46.7335
0.053, 83.7219, 47.5501
0.054, 85.137, 48.3666
0.055, 86.552, 49.1831
0.056, 87.967, 49.9994
0.057, 89.3818, 50.8158
0.058, 90.7966, 51.632
0.059, 92.2112, 52.4482
0.06, 93.6258, 53.2643
0.061, 95.0402, 54.0804
0.062, 96.4546, 54.8964
0.063, 97.8688, 55.7123
0.064, 99.283, 56.5281
0.065, 100.697, 57.3439
0.066, 102.111, 58.1596
0.067, 103.525, 58.9753
0.068, 104.939, 59.7909
0.069, 106.352, 60.6064
0.07, 107.766, 61.4219
0.071, 109.179, 62.2373
0.072, 110.593, 63.0526
0.073, 112.006, 63.8679
0.074, 113.419, 64.6831
0.075, 114.832, 65.4982
0.076, 116.245, 66.3133
0.077, 117.658, 67.1283
0.078, 119.071, 67.9432
0.079, 120.484, 68.7581
0.08, 121.896, 69.5729
0.081, 123.309, 70.3876
0.082, 124.721, 71.2023
0.083, 126.134, 72.0169
0.084, 127.546, 72.8314
0.085, 128.958, 73.6459
0.086, 130.37, 74.4603
0.087, 131.782, 75.2746
0.088, 133.194, 76.0889
0.089, 134.605, 76.9031
0.09, 136.017, 77.7173
0.091, 137.429, 78.5313
0.092, 138.84, 79.3454
