t,x,y
0.001, 10, 5
0.002, 10.9406, 6.34336
0.003, 11.8812, 7.68661
0.004, 12.8217, 9.02976
0.005, 13.7621, 10.3728
0.006, 14.7025, 11.7158
0.007, 15.6428, 13.0586
0.008, 16.5831, 14.4013
0.009, 17.5232, 15.744
0.01, 18.4633, 17.0865
0.011, 19.4034, 18.4289
0.012, 20.3434, 19.7713
0.013, 21.2833, 21.1135
0.014, 22.2231, 22.4556
0.015, 23.1629, 23.7976
0.016, 24.1026, 25.1396
0.017, 25.0423, 26.4814
0.018, 25.9819, 27.8231
0.019, 26.9214, 29.1647
0.02, 27.8609, 30.5062
0.021, 28.8003, 31.8476
0.022, 29.7396, 33.1889
0.023, 30.6789, 34.5301
0.024, 31.6181, 35.8712
0.025, 32.5572, 37.2122
0.026, 33.4963, 38.5531
0.027, 34.4353, 39.8939
0.028, 35.3742, 41.2346
0.029, 36.3131, 42.5752
0.03, 37.2519, 43.9156
0.031, 38.1907, 45.256
0.032, 39.1293, 46.5963
0.033, 40.068, 47.9365
0.034, 41.0065, 49.2765
0.035, 41.945, 50.6165
0.036, 42.8834, 51.9564
0.037, 43.8218, 53.2962
0.038, 44.7601, 54.6358
0.039, 45.6983, 55.9754
0.04, 46.6365, 57.3148
0.041, 47.5746, 58.6542
0.042, 48.5126, 59.9935
0.043, 49.4506, 61.3326
0.044, 50.3885, 62.6717
0.045, 51.3263, 64.0106
0.046, 52.2641, 65.3495
0.047, 53.2018, 66.6882
0.048, 54.1395, 68.0269
0.049, 55.077, 69.3654
0.05, 56.0146, 70.7038
0.051, 56.952, 72.0422
0.052, 57.8894, 73.3804
0.053, 58.8267, 74.7186
0.054, 59.764, 76.0566
0.055, 60.7012, 77.3945
0.056, 61.6383, 78.7324
0.057, 62.5754, 80.0701
0.058, 63.5124, 81.4077
0.059, 64.4493, 82.7452
0.06, 65.3862, 84.0827
0.061, 66.323, 85.42
0.062, 67.2598, 86.7572
0.063, 68.1965, 88.0943
0.064, 69.1331, 89.4313
0.065, 70.0696, 90.7683
0.066, 71.0061, 92.1051
0.067, 71.9425, 93.4418
0.068, 72.8789, 94.7784
0.069, 73.8152, 96.1149
0.07, 74.7514, 97.4513
0.071, 75.6876, 98.7876
0.072, 76.6237, 100.124
0.073, 77.5598, 101.46
0.074, 78.4957, 102.796
0.075, 79.4316, 104.132
0.076, 80.3675, 105.468
0.077, 81.3033, 106.803
0.078, 82.239, 108.139
0.079, 83.1747, 109.474
0.08, 84.1103, 110.81
0.081, 85.0458, 112.145
0.082, 85.9812, 113.48
0.083, 86.9167, 114.815
0.084, 87.852, 116.15
0.085, 88.7873, 117.485
0.086, 89.7225, 118.82
0.087, 90.6576, 120.155
0.088, 91.5927, 121.489
0.089, 92.5277, 122.824
0.09, 93.4627, 124.158
0.091, 94.3976, 125.493
0.092, 95.3324, 126.827
0.093, 96.2672, 128.161
0.094, 97.2019, 129.495
0.095, 98.1365, 130.829
0.096, 99.0711, 132.163
0.097, 100.006, 133.496
0.098, 100.94, 134.83
0.099, 101.874, 136.163
0.1, 102.809, 137.497
0.101, 103.743, 138.83
0.102, 104.677, 140.163
0.103, 105.611, 141.496
0.104, 106.545, 142.829
0.105, 107.479, 144.162
0.106, 108.413, 145.495
0.107, 109.347, 146.828
0.108, 110.281, 148.16
0.109, 111.215, 149.493
0.11, 112.148, 150.825
0.111, 113.082, 152.157
0.112, 114.016, 153.489
0.113, 114.949, 154.821
0.114, 115.883, 156.153
0.115, 116.816, 157.485
0.116, 117.749, 158.817
0.117, 118.682, 160.149
0.118, 119.616, 161.48
0.119, 120.549, 162.812
0.12, 121.482, 164.143
0.121, 122.415, 165.475
0.122, 123.348, 166.806
0.123, 124.281, 168.137
0.124, 125.213, 169.468
0.125, 126.146, 170.799
0.126, 127.079, 172.129
0.127, 128.011, 173.46
0.128, 128.944, 174.791
0.129, 129.876, 176.121
0.13, 130.809, 177.452
0.131, 131.741, 178.782
0.132, 132.673, 180.112
0.133, 133.606, 181.442
0.134, 134.538, 182.772
0.135, 135.47, 184.102
0.136, 136.402, 185.432
0.137, 137.334, 186.761
0.138, 138.266, 188.091
0.139, 139.198, 189.42
0.14, 140.13, 190.75
0.141, 141.061, 192.079
0.142, 141.993, 193.408
0.143, 142.925, 194.737
0.144, 143.856, 196.066
0.145, 144.788, 197.395
0.146, 145.719, 198.724
0.147, 146.65, 200.053
0.148, 147.582, 201.381
0.149, 148.513, 202.71
0.15, 149.444, 204.038
0.151, 150.375, 205.366
0.152, 151.306, 206.695
0.153, 152.237, 208.023
0.154, 153.168, 209.351
0.155, 154.099, 210.679
0.156, 155.03, 212.006
0.157, 155.96, 213.334
0.158, 156.891, 214.662
0.159, 157.822, 215.989
0.16, 158.752, 217.317
0.161, 159.683, 218.644
0.162, 160.613, 219.971
0.163, 161.543, 221.298
0.164, 162.474, 222.625
0.165, 163.404, 223.952
0.166, 164.334, 225.279
0.167, 165.264, 226.606
0.168, 166.194, 227.932
0.169, 167.124, 229.259
0.17, 168.054, 230.585
0.171, 168.984, 231.911
0.172, 169.914, 233.238
0.173, 170.843, 234.564
0.174, 171.773, 235.89
0.175, 172.703, 237.216
0.176, 173.632, 238.541
0.177, 174.562, 239.867
0.178, 175.491, 241.193
0.179, 176.42, 242.518
0.18, 177.35, 243.844
0.181, 178.279, 245.169
0.182, 179.208, 246.494
0.183, 180.137, 247.819
0.184, 181.066, 249.144
0.185, 181.995, 250.469
0.186, 182.924, 251.794
0.187, 183.853, 253.119
0.188, 184.782, 254.444
0.189, 185.711, 255.768
0.19, 186.639, 257.092
0.191, 187.568, 258.417
0.192, 188.496, 259.741
0.193, 189.425, 261.065
0.194, 190.353, 262.389
0.195, 191.282, 263.713
0.196, 192.21, 265.037
0.197, 193.138, 266.361
0.198, 194.066, 267.684
0.199, 194.994, 269.008
0.2, 195.922, 270.331
0.201, 196.85, 271.655
0.202, 197.778, 272.978
0.203, 198.706, 274.301
0.204, 199.634, 275.624
0.205, 200.562, 276.947
0.206, 201.489, 278.27
0.207, 202.417, 279.593
0.208, 203.345, 280.916
0.209, 204.272, 282.238
0.21, 205.199, 283.561
0.211, 206.127, 284.883
0.212, 207.054, 286.205
0.213, 207.981, 287.527
0.214, 208.909, 288.849
0.215, 209.836, 290.171
0.216, 210.763, 291.493
0.217, 211.69, 292.815
0.218, 212.617, 294.137
0.219, 213.544, 295.458
0.22, 214.47, 296.78
0.221, 215.397, 298.101
0.222, 216.324, 299.423
0.223, 217.25, 300.744
0.224, 218.177, 302.065
0.225, 219.103, 303.386
0.226, 220.03, 304.707
0.227, 220.956, 306.028
0.228, 221.883, 307.348
0.229, 222.809, 308.669
0.23, 223.735, 309.99
0.231, 224.661, 311.31
0.232, 225.587, 312.63
0.233, 226.513, 313.951
0.234, 227.439, 315.271
0.235, 228.365, 316.591
0.236, 229.291, 317.911
0.237, 230.217, 319.23
0.238, 231.142, 320.55
0.239, 232.068, 321.87
0.24, 232.994, 323.189
0.241, 233.919, 324.509
0.242, 234.845, 325.828
0.243, 235.77, 327.147
0.244, 236.695, 328.467
0.245, 237.621, 329.786
0.246, 238.546, 331.105
0.247, 239.471, 332.424
0.248, 240.396, 333.742
0.249, 241.321, 335.061
0.25, 242.246, 336.38
0.251, 243.171, 337.698
0.252, 244.096, 339.016
0.253, 245.021, 340.335
0.254, 245.945, 341.653
