t,x,y
0.001, 10, 0
0.002, 11.6337, 0.142926
0.003, 13.2673, 0.285831
0.004, 14.9008, 0.428717
0.005, 16.5341, 0.571584
0.006, 18.1674, 0.71443
0.007, 19.8005, 0.857257
0.008, 21.4335, 1.00006
0.009, 23.0664, 1.14285
0.01, 24.6992, 1.28562
0.011, 26.3319, 1.42837
0.012, 27.9645, 1.5711
0.013, 29.5969, 1.7138
0.014, 31.2293, 1.85649
0.015, 32.8615, 1.99916
0.016, 34.4936, 2.14181
0.017, 36.1256, 2.28444
0.018, 37.7575, 2.42705
0.019, 39.3893, 2.56964
0.02, 41.021, 2.71221
0.021, 42.6525, 2.85476
0.022, 44.284, 2.9973
0.023, 45.9153, 3.13981
0.024, 47.5465, 3.2823
0.025, 49.1776, 3.42477
0.026, 50.8086, 3.56722
0.027, 52.4394, 3.70966
0.028, 54.0702, 3.85207
0.029, 55.7008, 3.99446
0.03, 57.3314, 4.13684
0.031, 58.9618, 4.27919
0.032, 60.5921, 4.42153
0.033, 62.2223, 4.56384
0.034, 63.8524, 4.70614
0.035, 65.4823, 4.84841
0.036, 67.1122, 4.99067
0.037, 68.7419, 5.1329
0.038, 70.3716, 5.27512
0.039, 72.0011, 5.41732
0.04, 73.6305, 5.5595
0.041, 75.2598, 5.70165
0.042, 76.889, 5.84379
0.043, 78.518, 5.98591
0.044, 80.147, 6.12801
0.045, 81.7758, 6.27009
0.046, 83.4045, 6.41215
0.047, 85.0332, 6.55419
0.048, 86.6617, 6.69621
0.049, 88.2901, 6.83821
0.05, 89.9183, 6.98019
0.051, 91.5465, 7.12215
0.052, 93.1745, 7.26409
0.053, 94.8025, 7.40601
0.054, 96.4303, 7.54792
0.055, 98.058, 7.6898
0.056, 99.6856, 7.83166
0.057, 101.313, 7.97351
0.058, 102.94, 8.11533
0.059, 104.568, 8.25713
0.06, 106.195, 8.39892
0.061, 107.822, 8.54068
0.062, 109.449, 8.68243
0.063, 111.076, 8.82416
0.064, 112.702, 8.96586
0.065, 114.329, 9.10755
0.066, 115.955, 9.24922
0.067, 117.582, 9.39086
0.068, 119.208, 9.53249
0.069, 120.834, 9.6741
0.07, 122.46, 9.81569
0.071, 124.086, 9.95726
0.072, 125.712, 10.0988
0.073, 127.338, 10.2403
0.074, 128.963, 10.3818
0.075, 130.589, 10.5233
0.076, 132.214, 10.6648
0.077, 133.839, 10.8063
0.078, 135.464, 10.9477
0.079, 137.089, 11.0891
0.08, 138.714, 11.2305
0.081, 140.339, 11.3719
0.082, 141.964, 11.5132
0.083, 143.588, 11.6546
0.084, 145.213, 11.7959
0.085, 146.837, 11.9372
0.086, 148.461, 12.0784
0.087, 150.086, 12.2197
0.088, 151.71, 12.3609
0.089, 153.333, 12.5022
0.09, 154.957, 12.6434
0.091, 156.581, 12.7845
0.092, 158.204, 12.9257
0.093, 159.828, 13.0668
0.094, 161.451, 13.208
0.095, 163.074, 13.3491
0.096, 164.698, 13.4901
0.097, 166.321, 13.6312
0.098, 167.943, 13.7722
0.099, 169.566, 13.9133
