t,x,y
0.001, 10, 3000
0.002, 11.6337, 3000.14
0.003, 13.2674, 3000.29
0.004, 14.9009, 3000.43
0.005, 16.5344, 3000.57
0.006, 18.1677, 3000.71
0.007, 19.801, 3000.86
0.008, 21.4343, 3001
0.009, 23.0674, 3001.14
0.01, 24.7004, 3001.29
0.011, 26.3334, 3001.43
0.012, 27.9663, 3001.57
0.013, 29.5991, 3001.71
0.014, 31.2318, 3001.86
0.015, 32.8644, 3002
0.016, 34.4969, 3002.14
0.017, 36.1294, 3002.28
0.018, 37.7617, 3002.43
0.019, 39.394, 3002.57
0.02, 41.0262, 3002.71
0.021, 42.6584, 3002.86
0.022, 44.2904, 3003
0.023, 45.9223, 3003.14
0.024, 47.5542, 3003.28
0.025, 49.186, 3003.43
0.026, 50.8177, 3003.57
0.027, 52.4493, 3003.71
0.028, 54.0808, 3003.85
0.029, 55.7123, 3004
0.03, 57.3437, 3004.14
0.031, 58.9749, 3004.28
0.032, 60.6061, 3004.42
0.033, 62.2372, 3004.57
0.034, 63.8683, 3004.71
0.035, 65.4992, 3004.85
0.036, 67.1301, 3004.99
0.037, 68.7608, 3005.13
0.038, 70.3915, 3005.28
0.039, 72.0221, 3005.42
0.04, 73.6527, 3005.56
0.041, 75.2831, 3005.7
0.042, 76.9135, 3005.85
0.043, 78.5437, 3005.99
0.044, 80.1739, 3006.13
0.045, 81.804, 3006.27
0.046, 83.4341, 3006.41
0.047, 85.064, 3006.56
0.048, 86.6939, 3006.7
0.049, 88.3236, 3006.84
0.05, 89.9533, 3006.98
0.051, 91.5829, 3007.13
0.052, 93.2124, 3007.27
0.053, 94.8419, 3007.41
0.054, 96.4712, 3007.55
0.055, 98.1005, 3007.69
0.056, 99.7297, 3007.84
0.057, 101.359, 3007.98
0.058, 102.988, 3008.12
0.059, 104.617, 3008.26
0.06, 106.246, 3008.4
0.061, 107.874, 3008.55
0.062, 109.503, 3008.69
0.063, 111.132, 3008.83
0.064, 112.76, 3008.97
0.065, 114.389, 3009.11
0.066, 116.017, 3009.25
0.067, 117.645, 3009.4
0.068, 119.273, 3009.54
0.069, 120.901, 3009.68
0.07, 122.529, 3009.82
0.071, 124.157, 3009.96
0.072, 125.785, 3010.11
0.073, 127.413, 3010.25
0.074, 129.041, 3010.39
0.075, 130.668, 3010.53
0.076, 132.296, 3010.67
0.077, 133.923, 3010.81
0.078, 135.551, 3010.96
0.079, 137.178, 3011.1
0.08, 138.805, 3011.24
0.081, 140.432, 3011.38
0.082, 142.059, 3011.52
0.083, 143.686, 3011.66
0.084, 145.313, 3011.8
0.085, 146.94, 3011.95
0.086, 148.566, 3012.09
0.087, 150.193, 3012.23
0.088, 151.819, 3012.37
0.089, 153.446, 3012.51
0.09, 155.072, 3012.65
0.091, 156.699, 3012.79
0.092, 158.325, 3012.94
0.093, 159.951, 3013.08
0.094, 161.577, 3013.22
0.095, 163.203, 3013.36
0.096, 164.829, 3013.5
0.097, 166.454, 3013.64
0.098, 168.08, 3013.78
0.099, 169.706, 3013.93
0.1, 171.331, 3014.07
0.101, 172.957, 3014.21
0.102, 174.582, 3014.35
0.103, 176.207, 3014.49
0.104, 177.832, 3014.63
0.105, 179.457, 3014.77
0.106, 181.082, 3014.91
0.107, 182.707, 3015.05
0.108, 184.332, 3015.2
0.109, 185.957, 3015.34
0.11, 187.582, 3015.48
0.111, 189.206, 3015.62
0.112, 190.831, 3015.76
0.113, 192.455, 3015.9
0.114, 194.08, 3016.04
0.115, 195.704, 3016.18
0.116, 197.328, 3016.32
